timestamp,speed,grade,state
0,12.188324952292577,-13.285779033907076,Transit
1,13.174884302606669,-12.53724958721146,Transit
2,14.112178768009537,-15.014700575789739,Transit
3,12.845329049841414,-15.63137540967912,Transit
4,11.057102490969026,-13.659915978227456,Transit
5,13.456236216998871,-14.839412609743851,Transit
6,11.701748746795605,-12.622413821206777,Transit
7,13.599592938873768,-10.78630462200039,Transit
8,13.036669071169023,-14.952513750557713,Transit
9,10.191288998078969,-14.715907066621485,Transit
10,11.396150900793314,-14.6290097554249,Transit
11,11.111668650033955,-14.545294295394834,Transit
12,11.228065019625724,-11.42150213957389,Transit
13,12.181502426647649,-9.695212792143002,Transit
14,12.34074661255883,-15.343613791936985,Transit
15,11.164238292286331,-11.780819342061744,Transit
16,14.125850833791146,-15.245915903838071,Transit
17,12.501517037700047,-13.354807661077459,Transit
18,14.451001636419399,-11.382560788435805,Transit
19,11.642872854784898,-15.661325031528897,Transit
20,8.917548028663395,-14.521718637779355,Transit
21,12.727021746055767,-16.16444909735235,Transit
22,12.236869555849049,-13.78020767294664,Transit
23,12.258121433473177,-13.76944582518342,Transit
24,8.704487266707835,-14.879912693033745,Transit
25,14.417352785182114,-14.061251823187517,Transit
26,13.302941423635588,-12.878223250801936,Transit
27,10.406476552299885,-15.457236298469152,Transit
28,9.257808679680501,-11.749663591548375,Transit
29,12.157494895139518,-12.9822424246186,Transit
30,9.250647023745849,-12.205558394419143,Transit
31,10.580946951206018,-14.492602446596884,Transit
32,10.621527902852325,-10.713121582676344,Transit
33,11.170960632975438,-12.278361328506394,Transit
34,11.775070356748483,-12.886570652487652,Transit
35,12.722434493667288,-11.52220461975061,Transit
36,11.395298781860747,-11.336793771951875,Transit
37,14.017591177981085,-13.320519333285223,Transit
38,14.714738618775268,-12.716946851689457,Transit
39,13.432130589772234,-9.800280850748656,Transit
40,12.923517199156377,-14.82119541523516,Transit
41,11.407256485651185,-14.378405701311404,Transit
42,11.876637712034892,-10.58087911509708,Transit
43,12.504428792227323,-11.82604695025375,Transit
44,10.164644773802149,-12.186837666121098,Transit
45,11.651827424854284,-12.761863390669376,Transit
46,11.100268079849961,-12.47586323376408,Transit
